S.no,planet,planet radius,planet type,discovery method,planet mass,discovery date,orbital radius,orbital period,eccentricity,discription
1,proxima centauri b,1.02 X earth,supar earth,radial velocity,1.055 earths,2016,0.04848AU,11.2 days,0,"Proxima Centauri b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.07 Earths, it takes 11.2 days to complete one orbit of its star, and is 0.04856 AU from its star. Its discovery was announced in 2016."
2,trappist-1 e,0.92 X earth,Terrestrial,Transit,0.692 Earths,2017,0.02925 AU,6.1 days,0.1,"TRAPPIST-1 e is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.692 Earths, it takes 6.1 days to complete one orbit of its star, and is 0.02925 AU from its star. Its discovery was announced in 2017."
3,trappist-1 f,1.045 X earth,super earth,Transit,1.039 earths,2017,0.03849 AU,9.2 days,0.01,"TRAPPIST-1 f is a super Earth exoplanet that orbits an M-type star. Its mass is 1.039 Earths, it takes 9.2 days to complete one orbit of its star, and is 0.03849 AU from its star. Its discovery was announced in 2017."
4,trappist-1 g,1.129 X earth,super earth,Transit,1.321 earths,2017,0.04683 AU,12.4 days,0,"TRAPPIST-1 g is a super Earth exoplanet that orbits an M-type star. Its mass is 1.321 Earths, it takes 12.4 days to complete one orbit of its star, and is 0.04683 AU from its star. Its discovery was announced in 2017."
5,Kepler-186 e,1.27 x Earth,super earth,Transit,2.15 Earths,2014,0.11 AU,22.4 days,0,"Kepler-186 e is a super Earth exoplanet that orbits an M-type star. Its mass is 2.15 Earths, it takes 22.4 days to complete one orbit of its star, and is 0.11 AU from its star. Its discovery was announced in 2014."
6,Kepler-186 c,1.25 x Earth,super earth,Transit,2.1 earths,2014,0.0451 AU,7.3 days,0,"Kepler-186 c is a super Earth exoplanet that orbits an M-type star. Its mass is 2.1 Earths, it takes 7.3 days to complete one orbit of its star, and is 0.0451 AU from its star. Its discovery was announced in 2014."
7,Ross 128 b,1.11 x Earth,Super Earth,Radial Velocity,1.4 Earths,2017,0.0496 AU,9.9 days,0.12,"Ross 128 b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.4 Earths, it takes 9.9 days to complete one orbit of its star, and is 0.0496 AU from its star. Its discovery was announced in 2017."
8,Teegarden's Star b,1.11 x Earth,Super Earth,Radial Velocity,1.16 Earths,2019,0.0259 AU,4.9 days,0.03,"Teegarden's Star b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.05 Earths, it takes 4.9 days to complete one orbit of its star, and is 0.0252 AU from its star. Its discovery was announced in 2019."
9,TOI-700 d,1.073 x Earth,Super Earth,Transit,1.25 Earths,2020,0.1633 AU,37.4 days,0.04,"TOI-700 d is a super Earth exoplanet that orbits an M-type star. Its mass is 1.25 Earths, it takes 37.4 days to complete one orbit of its star, and is 0.1633 AU from its star. Its discovery was announced in 2020."
10,Kepler-440 b,1.86 x Earth,Super Earth,Transit,4.12 Earths,2015,0.242 AU,101.1 days,0.34,"Kepler-440 b is a super Earth exoplanet that orbits a K-type star. Its mass is 4.12 Earths, it takes 101.1 days to complete one orbit of its star, and is 0.242 AU from its star. Its discovery was announced in 2015."
11,K2-18 b,2.37 x Earth,Super Earth,Transit,8.92 Earths,2015,0.1429 AU,32.9 days,0.2,"K2-18 b is a super Earth exoplanet that orbits an M-type star. Its mass is 8.92 Earths, it takes 32.9 days to complete one orbit of its star, and is 0.1429 AU from its star. Its discovery was announced in 2015."
